#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	110941678	106766464	96.24	103735	0.09	36103	0.03	300937	0.27	3734439	3.37
Ecoli	110941678	110941630	100.00	0	0.00	0	0.00	8	0.00	40	0.00
PhiX	110941678	110941678	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	110941678	110941678	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	110941678	109819155	98.98	230	0.00	31	0.00	17550	0.02	1104712	1.00
Bacteria_24k	110941678	108439837	97.75	12953	0.01	12210	0.01	180356	0.16	2296322	2.07
Protists_1k	110941678	105798520	95.35	328589	0.30	528418	0.48	130936	0.12	4155215	3.75
Viruses	110941678	108313149	97.64	4007	0.00	1510	0.00	157171	0.14	2465841	2.22
Fungi_RefSeq_release	110941678	106957335	96.41	59526	0.05	21209	0.02	314427	0.28	3589181	3.24
Coral	110941678	107972851	97.32	40051	0.04	41584	0.04	270689	0.24	2616503	2.36
Bird	110941678	107678389	97.06	46104	0.04	10126	0.01	317720	0.29	2889339	2.60
Plant	110941678	107763487	97.13	17153	0.02	3918	0.00	229488	0.21	2927632	2.64

%Hit_no_genomes: 94.84
