#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	30099665	29268684	97.24	24776	0.08	6312	0.02	61887	0.21	738006	2.45
Ecoli	30099665	30099465	100.00	0	0.00	0	0.00	88	0.00	112	0.00
PhiX	30099665	30099665	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	30099665	30099662	100.00	0	0.00	0	0.00	0	0.00	3	0.00
Vectors	30099665	29891612	99.31	71	0.00	9	0.00	2897	0.01	205076	0.68
Bacteria_24k	30099665	29337489	97.46	115807	0.38	115918	0.39	43777	0.15	486674	1.62
Protists_1k	30099665	28947963	96.17	90790	0.30	127034	0.42	68167	0.23	865711	2.88
Viruses	30099665	29591223	98.32	938	0.00	320	0.00	40415	0.13	466769	1.55
Fungi_RefSeq_release	30099665	29350802	97.51	14002	0.05	3796	0.01	68912	0.23	662153	2.20
Coral	30099665	29630835	98.44	1810	0.01	695	0.00	44926	0.15	421399	1.40
Bird	30099665	29484665	97.95	14197	0.05	11436	0.04	100882	0.34	488485	1.62
Plant	30099665	29541908	98.15	3452	0.01	839	0.00	47173	0.16	506293	1.68

%Hit_no_genomes: 95.02
