#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_70993_length_4976_cov_36.020504:1947-4058   -            367 84033at7898          -            291   1.4e-98  327.9   0.0   1   2     1e-33   1.7e-31  107.7   0.0     1   134     4   141     4   146 0.94 -
NODE_70993_length_4976_cov_36.020504:1947-4058   -            367 84033at7898          -            291   1.4e-98  327.9   0.0   2   2     2e-67   3.3e-65  218.3   0.0   131   286   164   328   160   333 0.92 -
NODE_39308_length_7190_cov_34.787618:2933-6522   -            249 84033at7898          -            291   2.9e-66  221.8   0.1   1   2   0.00097      0.16    9.3   0.0   115   135     4    24     1    32 0.86 -
NODE_39308_length_7190_cov_34.787618:2933-6522   -            249 84033at7898          -            291   2.9e-66  221.8   0.1   2   2     4e-65   6.5e-63  210.8   0.0   128   277    36   194    29   207 0.91 -
NODE_38934_length_7228_cov_27.462477:3397-3936   -            180 84033at7898          -            291   2.1e-59  199.3   1.0   1   1   1.6e-61   2.6e-59  199.0   1.0     1   119     1   123     1   133 0.96 -
NODE_63365_length_5395_cov_24.596866:988-3655    -            165 84033at7898          -            291   9.4e-36  121.7   1.1   1   1   7.4e-37   1.2e-34  118.0   1.1   112   275     4   165     1   165 0.80 -
NODE_60917_length_5538_cov_30.001839:1778-3647   -            242 84033at7898          -            291   1.5e-33  114.4   0.0   1   2       5.8   9.5e+02   -3.0   0.0   118   132     1    15     1    18 0.90 -
NODE_60917_length_5538_cov_30.001839:1778-3647   -            242 84033at7898          -            291   1.5e-33  114.4   0.0   2   2   2.2e-35   3.5e-33  113.2   0.0   143   272    73   213    65   228 0.90 -
NODE_27638_length_8544_cov_40.366134:4683-5231   -            183 84033at7898          -            291   1.8e-24   84.7   0.0   1   1   1.4e-26   2.2e-24   84.3   0.0   143   273    14   153     3   169 0.87 -
NODE_23387_length_9217_cov_28.559224:4884-5399   -            172 84033at7898          -            291   2.9e-22   77.4   0.0   1   1   2.3e-24   3.7e-22   77.1   0.0   146   276     6   145     2   157 0.87 -
NODE_57384_length_5757_cov_34.380170:3112-3798   -             95 84033at7898          -            291   3.2e-21   74.0   0.0   1   1     2e-23   3.4e-21   73.9   0.0   204   272    26    94    11    95 0.93 -
NODE_40904_length_7033_cov_40.806028:958-1581    -            208 84033at7898          -            291   6.4e-21   73.0   0.0   1   1   5.1e-23   8.3e-21   72.6   0.0   112   270    30   208     8   208 0.80 -
NODE_176747_length_1901_cov_39.885683:827-1306   -            125 84033at7898          -            291   1.6e-18   65.2   0.0   1   1   9.9e-21   1.6e-18   65.1   0.0   181   268    38   124    14   125 0.95 -
NODE_109_length_34550_cov_36.375490:10118-10357  -             80 84033at7898          -            291   1.7e-17   61.8   0.0   1   1   1.1e-19   1.8e-17   61.7   0.0   208   274    12    78     2    80 0.91 -
NODE_14173_length_11217_cov_34.590664:7621-8076  -            152 84033at7898          -            291   3.4e-17   60.8   0.0   1   1   2.6e-19   4.3e-17   60.4   0.0   146   273     8   142     4   149 0.81 -
NODE_3977_length_16370_cov_36.647410:685-14316   -            137 84033at7898          -            291   1.6e-16   58.6   0.0   1   1   1.2e-18     2e-16   58.3   0.0   201   287    15   100     3   102 0.86 -
NODE_12538_length_11697_cov_76.197620:1252-7666  -            186 84033at7898          -            291   1.7e-15   55.2   0.0   1   1   1.7e-17   2.8e-15   54.5   0.0   178   272    81   174    30   179 0.84 -
NODE_103868_length_3634_cov_38.658557:2675-3205  -            141 84033at7898          -            291   6.5e-15   53.3   0.0   1   1   4.7e-17   7.8e-15   53.0   0.0   181   270    44   132     4   137 0.88 -
NODE_121007_length_3114_cov_31.078607:2182-2529  -            116 84033at7898          -            291   1.8e-14   51.8   0.1   1   1   1.3e-16   2.2e-14   51.6   0.1   147   248     7   116     3   116 0.88 -
NODE_15219_length_10941_cov_27.962369:7875-9074  -            133 84033at7898          -            291   2.1e-14   51.6   0.0   1   1   1.7e-16   2.8e-14   51.2   0.0   181   270    39   124    31   131 0.92 -
NODE_91092_length_4087_cov_43.851053:1581-1838   -             86 84033at7898          -            291   2.4e-14   51.4   0.0   1   1   1.6e-16   2.6e-14   51.3   0.0   209   274    19    84    12    86 0.93 -
NODE_26385_length_8727_cov_34.027816:8474-8719   -             82 84033at7898          -            291   1.4e-13   48.9   0.0   1   1   9.8e-16   1.6e-13   48.7   0.0   209   274    10    74     4    81 0.90 -
NODE_13014_length_11545_cov_31.765333:7869-10578 -            224 84033at7898          -            291     7e-13   46.6   0.0   1   1   5.7e-12   9.3e-10   36.4   0.0    21   208     7   224     2   224 0.74 -
NODE_786_length_23651_cov_55.012993:801-4205     -            160 84033at7898          -            291   1.9e-10   38.7   0.0   1   1   1.7e-12   2.7e-10   38.1   0.0   181   272    69   159    61   160 0.94 -
NODE_149798_length_2410_cov_27.342709:1694-2191  -            166 84033at7898          -            291   1.9e-08   32.1   0.0   1   2     0.016       2.6    5.3   0.0   115   133     1    19     1    45 0.76 -
NODE_149798_length_2410_cov_27.342709:1694-2191  -            166 84033at7898          -            291   1.9e-08   32.1   0.0   2   2   1.7e-08   2.8e-06   25.0   0.0   144   209    74   150    58   166 0.82 -
NODE_9926_length_12607_cov_36.580429:3001-3465   -            155 84033at7898          -            291   5.6e-08   30.5   0.1   1   1   4.6e-10   7.6e-08   30.1   0.1   197   254    79   136    59   144 0.85 -
NODE_8579_length_13202_cov_32.292147:325-5852    -            131 84033at7898          -            291   9.9e-07   26.4   0.0   1   1   6.6e-09   1.1e-06   26.3   0.0   196   251    52   107    29   127 0.88 -
NODE_44614_length_6701_cov_44.300818:4959-5922   -             74 84033at7898          -            291   1.6e-05   22.5   0.0   1   1   9.5e-08   1.6e-05   22.5   0.0   181   222    33    74     9    74 0.92 -
NODE_22633_length_9349_cov_41.768541:3797-6499   -            901 84033at7898          -            291   1.9e-05   22.2   0.0   1   1     2e-07   3.3e-05   21.4   0.0   213   271     1    58     1    64 0.92 -
NODE_18432_length_10174_cov_29.421340:5807-9561  -            182 84033at7898          -            291   5.7e-05   20.6   0.0   1   1   3.9e-07   6.5e-05   20.5   0.0   153   244    40   134    15   162 0.77 -
NODE_8563_length_13207_cov_37.887397:3034-4701   -            111 84033at7898          -            291    0.0002   18.9   0.0   1   1   1.3e-06   0.00021   18.8   0.0   179   231    61   110    34   111 0.89 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/84033at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/rerun_results/scaffolds.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/rerun_results/84033at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/84033at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/rerun_results/scaffolds.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 14:38:42 2021
# [ok]
