#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_77609_length_5062_cov_24.950030:2313-4824  -            334 54244at7898          -            383  7.4e-109  362.9   9.8   1   2   1.5e-13   1.3e-10   39.5   0.0     1    31    20    51    20    59 0.95 -
NODE_77609_length_5062_cov_24.950030:2313-4824  -            334 54244at7898          -            383  7.4e-109  362.9   9.8   2   2   6.6e-99   6.1e-96  320.4   7.5    31   227   108   334   105   334 0.89 -
NODE_54933_length_6616_cov_28.442228:631-1128   -            166 54244at7898          -            383   6.9e-94  313.7   2.5   1   1   8.4e-97   7.6e-94  313.5   2.5   227   383     1   166     1   166 0.96 -
NODE_535_length_29970_cov_68.626594:17738-25088 -            535 54244at7898          -            383   2.7e-32  110.9   1.4   1   1   4.2e-35   3.9e-32  110.4   1.4   108   372   256   527   223   533 0.80 -
NODE_40806_length_7994_cov_26.655478:5084-7821  -            184 54244at7898          -            383   1.4e-23   82.2   3.6   1   1   1.8e-26   1.6e-23   82.0   3.6   184   368     1   183     1   184 0.84 -
NODE_219439_length_965_cov_0.883372:434-724     -             97 54244at7898          -            383   7.4e-07   27.2   0.2   1   1   8.7e-10     8e-07   27.1   0.2   324   366    55    94    34    97 0.80 -
NODE_223964_length_906_cov_1.389095:100-672     -            191 54244at7898          -            383   4.8e-06   24.5   0.1   1   1   7.4e-09   6.8e-06   24.0   0.1   323   359   151   187   140   190 0.90 -
NODE_29770_length_9461_cov_35.801431:1168-1311  -             48 54244at7898          -            383   3.9e-05   21.5   0.1   1   1   4.3e-08   3.9e-05   21.5   0.1   310   349     6    46     2    48 0.71 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/54244at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/contigs.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/initial_run_results/54244at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/54244at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/contigs.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 13:23:17 2021
# [ok]
