#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9678_length_12100_cov_33.790517:3529-4293   -            190 31398at7898          -            594  9.3e-130  431.5   0.9   1   1  2.9e-131    1e-129  431.4   0.9     5   189     1   185     1   190 0.99 -
NODE_60349_length_5425_cov_35.843222:2302-4224   -            448 31398at7898          -            594  1.3e-110  368.2   0.2   1   1  5.7e-112    2e-110  367.7   0.2    32   453    14   442     3   447 0.94 -
NODE_53158_length_5862_cov_34.359014:1474-3102   -            543 31398at7898          -            594  4.5e-105  350.0   0.3   1   1  1.6e-106  5.5e-105  349.7   0.3    48   582     9   541     3   543 0.96 -
NODE_3583_length_15861_cov_39.191346:11864-13432 -            523 31398at7898          -            594  2.6e-103  344.2   0.8   1   1  8.7e-105    3e-103  343.9   0.8    51   566    12   523     3   523 0.95 -
NODE_771_length_22193_cov_41.680094:1019-19985   -            331 31398at7898          -            594   1.9e-98  328.1   0.7   1   1  6.1e-100   2.1e-98  327.9   0.7    31   357    11   331     1   331 0.97 -
NODE_3893_length_15527_cov_36.464221:3598-14217  -            348 31398at7898          -            594   1.3e-96  322.0   0.1   1   1   4.5e-98   1.6e-96  321.8   0.1    36   394     1   341     1   348 0.95 -
NODE_619_length_23157_cov_37.333897:10652-12238  -            529 31398at7898          -            594   7.5e-96  319.5  10.8   1   3     3e-41     1e-39  134.1   0.3    51   336     5   286     1   289 0.92 -
NODE_619_length_23157_cov_37.333897:10652-12238  -            529 31398at7898          -            594   7.5e-96  319.5  10.8   2   3   4.2e-49   1.5e-47  160.0   1.2   352   584   256   488   252   491 0.93 -
NODE_619_length_23157_cov_37.333897:10652-12238  -            529 31398at7898          -            594   7.5e-96  319.5  10.8   3   3     8e-15   2.8e-13   46.9   0.1   306   380   445   519   445   529 0.94 -
NODE_2188_length_17803_cov_38.453061:2988-4595   -            536 31398at7898          -            594   3.4e-92  307.5  10.3   1   3   5.7e-49     2e-47  159.6   2.7    49   332    24   297     9   299 0.92 -
NODE_2188_length_17803_cov_38.453061:2988-4595   -            536 31398at7898          -            594   3.4e-92  307.5  10.3   2   3   1.4e-29   4.8e-28   95.6   0.2   400   550   271   423   265   425 0.94 -
NODE_2188_length_17803_cov_38.453061:2988-4595   -            536 31398at7898          -            594   3.4e-92  307.5  10.3   3   3   3.6e-20   1.3e-18   64.5   0.1   455   564   425   534   421   536 0.92 -
NODE_2188_length_17803_cov_38.453061:10274-11806 -            511 31398at7898          -            594   7.5e-91  303.0  14.6   1   3   8.2e-44   2.9e-42  142.6   0.7    54   276     1   222     1   246 0.93 -
NODE_2188_length_17803_cov_38.453061:10274-11806 -            511 31398at7898          -            594   7.5e-91  303.0  14.6   2   3   1.3e-39   4.6e-38  128.7   5.4   366   560   254   452   237   452 0.92 -
NODE_2188_length_17803_cov_38.453061:10274-11806 -            511 31398at7898          -            594   7.5e-91  303.0  14.6   3   3   1.3e-15   4.5e-14   49.4   0.1   301   380   428   507   426   510 0.95 -
NODE_131703_length_2864_cov_34.004702:472-2085   -            538 31398at7898          -            594   1.3e-90  302.2   0.0   1   1     5e-92   1.7e-90  301.8   0.0    36   566     1   538     1   538 0.89 -
