#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2788_length_21728_cov_37.256369:18421-19181 -            141 108620at7898         -            221   2.9e-48  163.0   0.1   1   1   1.4e-50   3.2e-48  162.9   0.1    77   219     2   141     1   141 0.93 -
NODE_49447_length_7175_cov_296.668457:1010-1390  -            127 108620at7898         -            221   1.1e-34  118.6   0.1   1   1   8.8e-37     2e-34  117.8   0.1   111   218     2   126     1   127 0.88 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   1  10    0.0071       1.6    6.9  11.5    30    79     5    56     2    61 0.83 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   2  10   1.2e-05    0.0028   15.9  16.4    11    78    59   126    55   129 0.70 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   3  10     8e-06    0.0018   16.5  19.5    10    77   123   189   123   191 0.93 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   4  10   0.00059      0.14   10.4  13.6    29    73   164   206   161   212 0.81 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   5  10   0.00043     0.098   10.9  18.9    12    74   180   242   179   248 0.77 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   6  10   4.7e-05     0.011   14.0  18.0    15    77   206   271   202   273 0.66 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   7  10   1.6e-06   0.00037   18.8  19.4    11    78   246   311   241   314 0.70 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   8  10     3e-09   6.8e-07   27.8  23.0    11    80   264   337   263   340 0.83 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8   9  10   2.7e-07   6.2e-05   21.3  24.5    11    75   315   389   311   392 0.47 -
NODE_43867_length_7740_cov_38.668106:3612-5468   -            619 108620at7898         -            221     2e-21   75.3 158.8  10  10     2e-06   0.00045   18.5  16.3    11    78   384   451   381   457 0.92 -
NODE_118967_length_3211_cov_29.040167:662-2527   -            622 108620at7898         -            221   2.7e-21   74.8 175.6   1  10    0.0038      0.87    7.8  17.6     6    78    12    86     8    87 0.84 -
NODE_118967_length_3211_cov_29.040167:662-2527   -            622 108620at7898         -            221   2.7e-21   74.8 175.6   2  10   1.4e-07   3.2e-05   22.3  19.6    11    79    69   137    68   138 0.95 -
NODE_118967_length_3211_cov_29.040167:662-2527   -            622 108620at7898         -            221   2.7e-21   74.8 175.6   3  10   6.1e-06    0.0014   16.9  16.7    21    78   117   174   114   175 0.87 -
