#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6236_length_17041_cov_41.737457:1284-9501   -            372 91300at7898          -            414  4.1e-122  406.6  33.2   1   2   2.9e-24   2.5e-22   77.9   0.0    73   159     1   105     1   110 0.81 -
NODE_6236_length_17041_cov_41.737457:1284-9501   -            372 91300at7898          -            414  4.1e-122  406.6  33.2   2   2    4e-100   3.4e-98  327.8  31.7   140   388   117   370   110   372 0.94 -
NODE_195905_length_1338_cov_74.525424:520-906    -            129 91300at7898          -            414   3.6e-10   37.8   6.5   1   1   4.2e-12   3.6e-10   37.8   6.5   309   374     3    72     1    98 0.83 -
NODE_99642_length_3985_cov_31.575914:929-1492    -            188 91300at7898          -            414   4.8e-10   37.5   4.8   1   1   5.5e-12   4.8e-10   37.5   4.8   301   359    10    70     3    87 0.84 -
NODE_9771_length_14869_cov_27.584563:1881-2267   -            129 91300at7898          -            414   5.4e-10   37.3   7.5   1   1   6.2e-12   5.4e-10   37.3   7.5   309   374     3    72     1   109 0.83 -
NODE_23271_length_10632_cov_28.731416:5210-5560  -            117 91300at7898          -            414     1e-09   36.4  11.4   1   1   1.2e-11     1e-09   36.4  11.4   307   374     1    72     1   116 0.80 -
NODE_46681_length_7370_cov_41.440792:4234-4830   -            199 91300at7898          -            414   1.5e-09   35.8   5.9   1   1   1.7e-11   1.5e-09   35.8   5.9   304   380     8    88     5   121 0.83 -
NODE_39016_length_8195_cov_95.404274:1657-3087   -            477 91300at7898          -            414   1.9e-09   35.5   8.4   1   2   2.2e-11   1.9e-09   35.5   8.4   303   388     9   106     2   131 0.65 -
NODE_39016_length_8195_cov_95.404274:1657-3087   -            477 91300at7898          -            414   1.9e-09   35.5   8.4   2   2       1.6   1.4e+02   -0.3   1.9   160   210   219   270   210   320 0.61 -
NODE_68200_length_5635_cov_29.144147:389-739     -            117 91300at7898          -            414   3.3e-09   34.7   9.4   1   1   3.9e-11   3.3e-09   34.7   9.4   305   371     1    71     1   111 0.81 -
NODE_4179_length_19034_cov_37.418696:10854-11474 -            207 91300at7898          -            414   6.2e-09   33.8   2.7   1   1   9.1e-11   7.8e-09   33.4   2.7   308   353     3    50     1    73 0.86 -
NODE_5829_length_17381_cov_41.709756:14634-15086 -            151 91300at7898          -            414   1.1e-08   33.0   0.6   1   1   1.4e-10   1.2e-08   32.8   0.6   300   355    83   141    46   145 0.84 -
NODE_7413_length_16184_cov_102.855766:8116-10554 -            633 91300at7898          -            414   1.1e-08   32.9   1.8   1   1   2.1e-10   1.8e-08   32.3   1.8   309   354   582   630   561   632 0.82 -
NODE_79300_length_4964_cov_32.185200:2665-2850   -             62 91300at7898          -            414   1.1e-08   32.9   3.8   1   1   1.4e-10   1.2e-08   32.8   3.8   303   351     8    61     3    62 0.84 -
NODE_21503_length_11020_cov_80.014559:2297-2866  -            190 91300at7898          -            414   1.1e-08   32.9   3.9   1   2   1.3e-10   1.1e-08   32.9   3.9   307   377     2    73     1    80 0.83 -
NODE_21503_length_11020_cov_80.014559:2297-2866  -            190 91300at7898          -            414   1.1e-08   32.9   3.9   2   2      0.15        13    3.0   1.4   303   331    83   113    68   130 0.80 -
NODE_96313_length_4130_cov_25.865542:774-977     -             68 91300at7898          -            414   1.4e-08   32.6   2.0   1   1   1.7e-10   1.5e-08   32.5   2.0   304   348    18    68    11    68 0.81 -
NODE_13033_length_13458_cov_41.728498:795-8231   -            229 91300at7898          -            414   1.8e-08   32.3   3.7   1   2   2.1e-10   1.8e-08   32.3   3.7   304   350    11    60     3    73 0.84 -
NODE_13033_length_13458_cov_41.728498:795-8231   -            229 91300at7898          -            414   1.8e-08   32.3   3.7   2   2       1.1        92    0.3  13.3   174   280    77   182    63   188 0.63 -
NODE_248535_length_633_cov_65.876404:201-515     -            105 91300at7898          -            414   2.2e-08   32.0   1.5   1   1   3.1e-10   2.6e-08   31.7   1.5   310   372     1    67     1    74 0.82 -
NODE_92866_length_4283_cov_31.839149:1519-1827   -            103 91300at7898          -            414   2.3e-08   31.9   2.0   1   1   3.3e-10   2.8e-08   31.6   2.0   310   372     1    67     1    75 0.81 -
NODE_28910_length_9601_cov_34.283835:3688-4278   -            197 91300at7898          -            414   3.7e-08   31.2   3.8   1   1   5.8e-10     5e-08   30.8   3.8   307   351     2    48     1    69 0.84 -
NODE_114380_length_3411_cov_36.103865:2170-2763  -            198 91300at7898          -            414   5.1e-08   30.8   3.1   1   1   5.9e-10   5.1e-08   30.8   3.1   307   373     5    75     1    85 0.79 -
NODE_12629_length_13611_cov_38.496226:6108-6335  -             76 91300at7898          -            414   1.1e-07   29.7   1.5   1   1   1.4e-09   1.2e-07   29.6   1.5   301   352    14    66     8    73 0.84 -
