#                                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_66770_length_5201_cov_37.048412:1168-2313 -             83 78743at7898          -            283   2.8e-43  146.4   0.0   1   1   3.2e-46   3.1e-43  146.3   0.0   142   224     1    83     1    83 0.99 -
NODE_46_length_39786_cov_4.487716:10134-10637  -            168 78743at7898          -            283   1.7e-12   45.4   0.0   1   2   4.3e-09   4.2e-06   24.4   0.0    46   131     3   104     1   109 0.70 -
NODE_46_length_39786_cov_4.487716:10134-10637  -            168 78743at7898          -            283   1.7e-12   45.4   0.0   2   2   1.3e-07   0.00013   19.5   0.0   158   216   109   166   103   168 0.91 -
NODE_309621_length_512_cov_0.714286:82-444     -            121 78743at7898          -            283   4.9e-12   43.9   0.7   1   2   6.8e-06    0.0066   14.0   0.0    83   128     3    55     1    60 0.79 -
NODE_309621_length_512_cov_0.714286:82-444     -            121 78743at7898          -            283   4.9e-12   43.9   0.7   2   2   1.9e-10   1.8e-07   28.9   0.2   158   215    63   119    56   121 0.89 -
NODE_22_length_46474_cov_4.590404:34663-35208  -            182 78743at7898          -            283   4.4e-10   37.5   0.9   1   2    0.0019       1.9    5.9   0.0    46    64     4    22     2    43 0.90 -
NODE_22_length_46474_cov_4.590404:34663-35208  -            182 78743at7898          -            283   4.4e-10   37.5   0.9   2   2   4.5e-09   4.4e-06   24.4   0.2    83   205    61   171    56   182 0.77 -
NODE_1158_length_21793_cov_34.441689:4111-8138 -            573 78743at7898          -            283     8e-06   23.5   0.0   1   2   0.00086      0.85    7.1   0.0    43   103   240   309   205   333 0.72 -
NODE_1158_length_21793_cov_34.441689:4111-8138 -            573 78743at7898          -            283     8e-06   23.5   0.0   2   2   5.8e-06    0.0057   14.2   0.0   164   217   356   408   347   418 0.83 -
NODE_360178_length_385_cov_0.891608:2-364      -            121 78743at7898          -            283   0.00014   19.5   0.0   1   1   1.3e-06    0.0013   16.3   0.0   163   215    69   121     1   121 0.87 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/78743at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/scaffolds.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/initial_run_results/78743at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/78743at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/scaffolds.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 13:37:15 2021
# [ok]
