#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10885_length_11681_cov_31.951735:7397-9148  -            584 54777at7898          -            360   4.1e-70  235.1 165.1   1   5   3.1e-07   8.2e-05   20.3  13.8    72   134     1    65     1    69 0.87 -
NODE_10885_length_11681_cov_31.951735:7397-9148  -            584 54777at7898          -            360   4.1e-70  235.1 165.1   2   5   4.2e-32   1.1e-29  102.0  66.1     8   227    59   287    56   289 0.85 -
NODE_10885_length_11681_cov_31.951735:7397-9148  -            584 54777at7898          -            360   4.1e-70  235.1 165.1   3   5   2.5e-27   6.7e-25   86.3  44.4    30   190   281   459   281   462 0.88 -
NODE_10885_length_11681_cov_31.951735:7397-9148  -            584 54777at7898          -            360   4.1e-70  235.1 165.1   4   5   3.3e-11   8.8e-09   33.3  18.5    46   136   465   555   460   557 0.89 -
NODE_10885_length_11681_cov_31.951735:7397-9148  -            584 54777at7898          -            360   4.1e-70  235.1 165.1   5   5   1.1e-08   2.9e-06   25.0   8.7   140   190   530   579   523   583 0.80 -
NODE_10885_length_11681_cov_31.951735:5125-6756  -            544 54777at7898          -            360   1.7e-67  226.5 161.0   1   4   0.00018     0.047   11.2   1.5   174   189     6    21     2    25 0.91 -
NODE_10885_length_11681_cov_31.951735:5125-6756  -            544 54777at7898          -            360   1.7e-67  226.5 161.0   2   4   1.6e-26   4.1e-24   83.7  57.6    46   228    28   224    22   231 0.82 -
NODE_10885_length_11681_cov_31.951735:5125-6756  -            544 54777at7898          -            360   1.7e-67  226.5 161.0   3   4     1e-29   2.6e-27   94.2  52.5    38   227   225   431   224   431 0.88 -
NODE_10885_length_11681_cov_31.951735:5125-6756  -            544 54777at7898          -            360   1.7e-67  226.5 161.0   4   4   3.9e-22     1e-19   69.3  36.0    45   173   401   540   397   544 0.89 -
NODE_64621_length_5189_cov_34.932417:31-3441     -            187 54777at7898          -            360   2.4e-60  203.0  37.2   1   2   8.1e-23   2.1e-20   71.5  15.2    90   158     1    76     1    78 0.87 -
NODE_64621_length_5189_cov_34.932417:31-3441     -            187 54777at7898          -            360   2.4e-60  203.0  37.2   2   2   6.7e-45   1.8e-42  144.2  14.0   171   308    48   185    48   187 0.98 -
NODE_25948_length_8424_cov_34.292372:1138-5527   -            256 54777at7898          -            360   5.8e-38  129.3   5.9   1   2     0.036       9.4    3.6   5.5    50    83     2    33     1    54 0.69 -
NODE_25948_length_8424_cov_34.292372:1138-5527   -            256 54777at7898          -            360   5.8e-38  129.3   5.9   2   2   2.2e-40   5.8e-38  129.3   5.9   159   360    47   256    39   256 0.88 -
NODE_13518_length_10867_cov_31.605312:5041-8182  -            210 54777at7898          -            360   4.8e-34  116.4   4.9   1   1     2e-36   5.4e-34  116.3   4.9   160   360     1   210     1   210 0.87 -
NODE_121516_length_3115_cov_32.497679:702-1598   -            299 54777at7898          -            360   3.8e-30  103.6  57.7   1   2   9.6e-15   2.5e-12   45.0  21.8   131   206    99   172     1   175 0.92 -
NODE_121516_length_3115_cov_32.497679:702-1598   -            299 54777at7898          -            360   3.8e-30  103.6  57.7   2   2   6.9e-23   1.8e-20   71.8  32.0    87   202   164   286   162   294 0.91 -
NODE_6326_length_13680_cov_46.391945:3599-4459   -            287 54777at7898          -            360   1.5e-29  101.7  51.2   1   3   3.6e-13   9.5e-11   39.8  19.8   123   207    98   177    78   181 0.87 -
NODE_6326_length_13680_cov_46.391945:3599-4459   -            287 54777at7898          -            360   1.5e-29  101.7  51.2   2   3   4.9e-18   1.3e-15   55.8  12.7    63   135   181   255   176   256 0.89 -
NODE_6326_length_13680_cov_46.391945:3599-4459   -            287 54777at7898          -            360   1.5e-29  101.7  51.2   3   3   1.2e-09   3.2e-07   28.2   6.7    86   127   245   287   242   287 0.93 -
NODE_157179_length_2326_cov_32.981590:1212-1901  -            230 54777at7898          -            360   2.7e-27   94.2  46.7   1   2   2.1e-09   5.6e-07   27.4  13.0   100   165     3    78     1    84 0.40 -
NODE_157179_length_2326_cov_32.981590:1212-1901  -            230 54777at7898          -            360   2.7e-27   94.2  46.7   2   2   5.1e-22   1.3e-19   68.9  29.1    53   196    77   227    75   230 0.81 -
NODE_61902_length_5337_cov_29.293242:3349-3957   -            203 54777at7898          -            360   6.9e-25   86.3  47.3   1   2   1.3e-12   3.4e-10   38.0  20.7   134   227    12   101     1   102 0.83 -
NODE_61902_length_5337_cov_29.293242:3349-3957   -            203 54777at7898          -            360   6.9e-25   86.3  47.3   2   2   1.2e-18   3.1e-16   57.8  24.9    64   160    90   194    84   201 0.90 -
NODE_8128_length_12733_cov_31.974830:8203-12372  -            302 54777at7898          -            360   2.1e-19   68.2  53.6   1   2   7.3e-18   1.9e-15   55.2  42.0    36   191     4   185     1   205 0.79 -
NODE_8128_length_12733_cov_31.974830:8203-12372  -            302 54777at7898          -            360   2.1e-19   68.2  53.6   2   2   1.4e-06   0.00038   18.1   3.7    47    83   260   296   248   302 0.88 -
NODE_8361_length_12626_cov_40.324818:852-9936    -            424 54777at7898          -            360   4.4e-14   50.7  14.0   1   1   2.5e-16   6.7e-14   50.1  14.0    49   135     1    92     1    98 0.91 -
NODE_1116_length_20658_cov_39.134345:18969-20202 -            180 54777at7898          -            360   1.9e-11   42.1  41.0   1   1   9.6e-14   2.5e-11   41.7  41.0    59   228     5   177     2   180 0.82 -
NODE_151040_length_2442_cov_39.537345:757-1065   -            103 54777at7898          -            360   2.6e-10   38.4  24.0   1   2     1e-08   2.7e-06   25.1  14.5    61   133     2    71     1    72 0.83 -
NODE_151040_length_2442_cov_39.537345:757-1065   -            103 54777at7898          -            360   2.6e-10   38.4  24.0   2   2   5.7e-08   1.5e-05   22.7   8.9    38    81    55    97    55   103 0.88 -
NODE_43007_length_6595_cov_33.697352:2613-6363   -            252 54777at7898          -            360   1.9e-08   32.2   3.0   1   1   1.1e-10   2.9e-08   31.6   3.0   162   199   214   251   200   252 0.92 -
NODE_2857_length_16754_cov_30.679976:7129-7560   -            144 54777at7898          -            360   1.3e-07   29.4  28.7   1   1   6.9e-10   1.8e-07   29.0  28.7    56   190     5   144     1   144 0.75 -
NODE_495_length_24286_cov_31.076694:18209-18577  -            123 54777at7898          -            360   7.5e-07   26.9  17.1   1   1   3.4e-09   8.9e-07   26.7  17.1   138   228    40   122     3   123 0.68 -
NODE_48270_length_6194_cov_36.868417:692-1066    -            125 54777at7898          -            360   4.9e-05   21.0  18.0   1   1   2.2e-07   5.7e-05   20.8  18.0    28   116    33   125     8   125 0.79 -
NODE_115796_length_3268_cov_36.946986:444-2072   -            441 54777at7898          -            360   0.00067   17.3  18.0   1   3   2.5e-06   0.00067   17.3  18.0   123   200     7    77     2    90 0.81 -
NODE_115796_length_3268_cov_36.946986:444-2072   -            441 54777at7898          -            360   0.00067   17.3  18.0   2   3       0.2        53    1.1   6.4   174   221    93   136    81   151 0.67 -
NODE_115796_length_3268_cov_36.946986:444-2072   -            441 54777at7898          -            360   0.00067   17.3  18.0   3   3      0.52   1.4e+02   -0.2  25.0    30   118   174   262   159   270 0.72 -
NODE_59857_length_5452_cov_34.998506:151-1978    -            384 54777at7898          -            360    0.0019   15.7  70.4   1   3   0.00091      0.24    8.8  29.6    87   194    12   117     1   133 0.82 -
NODE_59857_length_5452_cov_34.998506:151-1978    -            384 54777at7898          -            360    0.0019   15.7  70.4   2   3   0.00019     0.051   11.1  14.8    64   129   135   197   116   206 0.72 -
NODE_59857_length_5452_cov_34.998506:151-1978    -            384 54777at7898          -            360    0.0019   15.7  70.4   3   3     0.016       4.3    4.7  16.6    42   118   190   266   189   274 0.79 -
NODE_22135_length_9018_cov_24.961431:1086-8159   -            329 54777at7898          -            360     0.019   12.4  18.0   1   1   3.5e-05    0.0093   13.5  15.6    51   126     3    78     1    89 0.79 -
NODE_18783_length_9622_cov_35.260527:6650-8137   -            496 54777at7898          -            360     0.022   12.2   0.1   1   2     0.078        21    2.5   0.0   276   308     2    36     1    52 0.80 -
NODE_18783_length_9622_cov_35.260527:6650-8137   -            496 54777at7898          -            360     0.022   12.2   0.1   2   2    0.0027      0.71    7.3   0.0   255   330   192   268   170   282 0.79 -
NODE_7462_length_13038_cov_80.944045:9666-10058  -            131 54777at7898          -            360     0.039   11.4  17.7   1   1   0.00046      0.12    9.8  17.7    97   200     5   107     1   118 0.71 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/54777at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/contigs.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/initial_run_results/54777at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/54777at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/contigs.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 13:22:57 2021
# [ok]
