#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7293_length_16622_cov_40.637293:980-1414    -            145 131078at7898         -            100   3.3e-42  140.8  15.1   1   1   6.8e-43   2.1e-40  135.0  15.1    26    99    71   144     5   145 0.93 -
NODE_2697_length_21913_cov_41.118273:17010-17435 -            142 131078at7898         -            100   7.6e-23   78.7   2.0   1   2      0.15        49    2.3   0.1    11    31    15    35     7    39 0.85 -
NODE_2697_length_21913_cov_41.118273:17010-17435 -            142 131078at7898         -            100   7.6e-23   78.7   2.0   2   2   1.5e-24   4.6e-22   76.2   0.3    15    97    55   137    41   139 0.89 -
NODE_2697_length_21913_cov_41.118273:2269-2613   -            115 131078at7898         -            100   9.1e-21   72.0   2.8   1   2       2.6   8.2e+02   -1.7   0.0    21    44    10    36     3    40 0.51 -
NODE_2697_length_21913_cov_41.118273:2269-2613   -            115 131078at7898         -            100   9.1e-21   72.0   2.8   2   2   3.1e-23   9.9e-21   71.9   2.2    28    95    46   113    22   115 0.86 -
NODE_2118_length_23256_cov_31.975126:18034-18360 -            109 131078at7898         -            100   1.8e-20   71.0   2.7   1   1   8.4e-23   2.6e-20   70.5   2.7    14    95    27   107     6   109 0.85 -
NODE_59042_length_6327_cov_22.517983:3288-3476   -             63 131078at7898         -            100   1.2e-13   49.1   0.2   1   1   4.3e-16   1.4e-13   49.0   0.2    40    98     1    57     1    59 0.94 -
NODE_88059_length_4503_cov_26.530427:1673-1861   -             63 131078at7898         -            100   1.5e-13   48.8   0.1   1   1   5.4e-16   1.7e-13   48.7   0.1    40    98     1    57     1    59 0.94 -
NODE_12247_length_14041_cov_31.777579:1363-1584  -             74 131078at7898         -            100   2.3e-12   45.1   0.1   1   1   7.9e-15   2.5e-12   44.9   0.1    31    97     7    71     2    74 0.85 -
NODE_78543_length_5017_cov_14.942660:756-1007    -             84 131078at7898         -            100   7.5e-12   43.4   0.2   1   2   4.3e-14   1.3e-11   42.6   0.1    40    98     1    57     1    60 0.94 -
NODE_78543_length_5017_cov_14.942660:756-1007    -             84 131078at7898         -            100   7.5e-12   43.4   0.2   2   2         3   9.5e+02   -1.9   0.0    72    83    60    71    57    76 0.77 -
NODE_2755_length_21805_cov_41.609693:7603-7842   -             80 131078at7898         -            100   8.2e-10   36.8   0.1   1   1   3.9e-12   1.2e-09   36.3   0.1    44    98     1    53     1    55 0.92 -
NODE_175620_length_1659_cov_24.773077:554-793    -             80 131078at7898         -            100   2.7e-09   35.2   0.1   1   1     1e-11   3.3e-09   34.9   0.1    44    98     1    53     1    55 0.91 -
NODE_10974_length_14605_cov_29.484144:7637-7828  -             64 131078at7898         -            100   3.2e-08   31.7   0.6   1   1   1.2e-10   3.7e-08   31.5   0.6    39    98     7    64     3    64 0.92 -
NODE_6285_length_17435_cov_46.488809:1995-2270   -             92 131078at7898         -            100   2.1e-07   29.1   0.4   1   1   9.5e-10     3e-07   28.6   0.4    16    98    12    92     4    92 0.87 -
NODE_37179_length_8536_cov_24.825412:5565-5876   -            104 131078at7898         -            100     4e-06   25.0   0.1   1   1   1.9e-08   5.9e-06   24.5   0.1    41    99     2    58     1    59 0.89 -
NODE_111212_length_3491_cov_30.783608:2428-2817  -            130 131078at7898         -            100   6.4e-05   21.1   0.1   1   1   3.1e-07   9.6e-05   20.6   0.1    41    97     2    56     1    58 0.92 -
NODE_38131_length_8413_cov_34.528626:4068-4271   -             68 131078at7898         -            100   0.00055   18.2   0.1   1   1   2.1e-06   0.00065   17.9   0.1    40    99     1    58     1    59 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/131078at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/rerun_results/scaffolds.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/rerun_results/131078at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/131078at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/rerun_results/scaffolds.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 14:42:28 2021
# [ok]
