#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10859_length_14660_cov_32.513701:10193-11428 -            412 75241at7898          -            329  8.8e-138  457.3   0.2   1   1  2.3e-138  1.6e-135  449.8   0.2     2   321    19   380    18   400 0.87 -
NODE_27983_length_9916_cov_22.943262:5034-6110    -            359 75241at7898          -            329     4e-07   27.8   0.1   1   3     8e-07   0.00057   17.4   0.0   232   292    37    99    22   122 0.79 -
NODE_27983_length_9916_cov_22.943262:5034-6110    -            359 75241at7898          -            329     4e-07   27.8   0.1   2   3     0.052        37    1.6   0.0   244   292   154   207   139   219 0.67 -
NODE_27983_length_9916_cov_22.943262:5034-6110    -            359 75241at7898          -            329     4e-07   27.8   0.1   3   3     0.005       3.5    5.0   0.0   224   293   268   340   249   357 0.73 -
NODE_27523_length_10006_cov_31.273443:7372-7893   -            174 75241at7898          -            329   3.8e-06   24.6   0.0   1   2   1.8e-05     0.013   13.0   0.0   236   304     4    73     1    91 0.72 -
NODE_27523_length_10006_cov_31.273443:7372-7893   -            174 75241at7898          -            329   3.8e-06   24.6   0.0   2   2   0.00014       0.1   10.1   0.0   230   294    98   164    83   173 0.77 -
NODE_16929_length_12418_cov_35.993181:8818-9462   -            215 75241at7898          -            329    0.0011   16.5   0.3   1   3     0.043        31    1.9   0.0   277   297     2    22     1    40 0.74 -
NODE_16929_length_12418_cov_35.993181:8818-9462   -            215 75241at7898          -            329    0.0011   16.5   0.3   2   3   8.3e-05      0.06   10.8   0.0   248   314    67   135    42   146 0.73 -
NODE_16929_length_12418_cov_35.993181:8818-9462   -            215 75241at7898          -            329    0.0011   16.5   0.3   3   3     0.097        70    0.7   0.0   266   290   185   209   136   213 0.72 -
NODE_18536_length_11970_cov_90.982563:1062-1595   -            178 75241at7898          -            329    0.0015   16.1   0.0   1   2    0.0019       1.4    6.3   0.0   259   296    35    72     5    83 0.84 -
NODE_18536_length_11970_cov_90.982563:1062-1595   -            178 75241at7898          -            329    0.0015   16.1   0.0   2   2   0.00055      0.39    8.1   0.0   229   294    98   164    87   176 0.83 -
NODE_3365_length_20750_cov_35.436153:878-15335    -            722 75241at7898          -            329    0.0045   14.5   0.0   1   2   0.00015      0.11    9.9   0.0   233   296   126   189    75   211 0.77 -
NODE_3365_length_20750_cov_35.436153:878-15335    -            722 75241at7898          -            329    0.0045   14.5   0.0   2   2     0.037        26    2.1   0.0   248   291   234   274   222   307 0.75 -
NODE_36384_length_8636_cov_33.436570:4601-5269    -            223 75241at7898          -            329    0.0064   14.0   0.1   1   3    0.0092       6.6    4.1   0.0   274   302     2    30     1    48 0.78 -
NODE_36384_length_8636_cov_33.436570:4601-5269    -            223 75241at7898          -            329    0.0064   14.0   0.1   2   3     0.014        10    3.5   0.0   270   311   101   141    86   153 0.72 -
NODE_36384_length_8636_cov_33.436570:4601-5269    -            223 75241at7898          -            329    0.0064   14.0   0.1   3   3      0.02        14    3.0   0.0   238   290   162   217   143   222 0.58 -
NODE_17767_length_12175_cov_27.800679:5531-6754   -            408 75241at7898          -            329     0.017   12.6   0.0   1   1   4.1e-05      0.03   11.8   0.0   234   293   335   395   316   407 0.79 -
NODE_62152_length_6091_cov_28.720127:2228-3451    -            408 75241at7898          -            329     0.046   11.2   0.0   1   1   9.1e-05     0.065   10.7   0.0   238   294   339   396   291   408 0.77 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/75241at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/scaffolds.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/initial_run_results/75241at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/75241at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_scaffolds_results-SPAdes_contam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/initial_results/scaffolds.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 13:32:51 2021
# [ok]
