#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_47730_length_7267_cov_39.386858:3957-5191   -            341 64151at7898          -            365   5.6e-22   76.5   0.0   1   6      0.13        27    1.9   0.0   252   288    24    60    16    70 0.87 -
NODE_47730_length_7267_cov_39.386858:3957-5191   -            341 64151at7898          -            365   5.6e-22   76.5   0.0   2   6   0.00042     0.087   10.0   0.0   249   286    94   131    79   135 0.90 -
NODE_47730_length_7267_cov_39.386858:3957-5191   -            341 64151at7898          -            365   5.6e-22   76.5   0.0   3   6    0.0064       1.3    6.1   0.0   248   283   135   170   131   178 0.91 -
NODE_47730_length_7267_cov_39.386858:3957-5191   -            341 64151at7898          -            365   5.6e-22   76.5   0.0   4   6   1.6e-06   0.00032   18.0   0.1   249   293   178   222   173   223 0.93 -
NODE_47730_length_7267_cov_39.386858:3957-5191   -            341 64151at7898          -            365   5.6e-22   76.5   0.0   5   6   3.1e-06   0.00064   17.1   0.0   249   286   220   257   217   264 0.91 -
NODE_47730_length_7267_cov_39.386858:3957-5191   -            341 64151at7898          -            365   5.6e-22   76.5   0.0   6   6   1.9e-06   0.00039   17.8   0.0   250   286   263   299   258   306 0.93 -
NODE_10542_length_14472_cov_27.836012:4571-14392 -            444 64151at7898          -            365     3e-19   67.5   9.0   1   5   0.00076      0.16    9.2   0.0   110   145    56    91    34    99 0.87 -
NODE_10542_length_14472_cov_27.836012:4571-14392 -            444 64151at7898          -            365     3e-19   67.5   9.0   2   5   2.9e-06   0.00061   17.1   0.2   253   293   107   147   104   158 0.85 -
NODE_10542_length_14472_cov_27.836012:4571-14392 -            444 64151at7898          -            365     3e-19   67.5   9.0   3   5   0.00019     0.039   11.2   0.0   241   286   181   228   160   232 0.81 -
NODE_10542_length_14472_cov_27.836012:4571-14392 -            444 64151at7898          -            365     3e-19   67.5   9.0   4   5   0.00011     0.022   12.0   0.3   252   288   237   272   227   285 0.84 -
NODE_10542_length_14472_cov_27.836012:4571-14392 -            444 64151at7898          -            365     3e-19   67.5   9.0   5   5   4.8e-07   9.9e-05   19.7   0.0    79   148   363   436   343   440 0.77 -
NODE_13968_length_13110_cov_36.445008:5141-12494 -            269 64151at7898          -            365   1.1e-15   55.8   2.6   1   3   5.1e-10   1.1e-07   29.5   0.0   181   296    23   139     9   150 0.80 -
NODE_13968_length_13110_cov_36.445008:5141-12494 -            269 64151at7898          -            365   1.1e-15   55.8   2.6   2   3     0.054        11    3.1   0.1   258   288   153   183   147   194 0.85 -
NODE_13968_length_13110_cov_36.445008:5141-12494 -            269 64151at7898          -            365   1.1e-15   55.8   2.6   3   3   6.4e-08   1.3e-05   22.6   0.1    74   146   191   267   183   269 0.87 -
NODE_46031_length_7435_cov_42.310115:1602-6761   -            299 64151at7898          -            365     4e-15   53.9   8.4   1   6   0.00079      0.17    9.1   0.0   258   286     7    35     3    40 0.87 -
NODE_46031_length_7435_cov_42.310115:1602-6761   -            299 64151at7898          -            365     4e-15   53.9   8.4   2   6   1.8e-05    0.0038   14.5   0.1   250   290    41    81    35    95 0.87 -
NODE_46031_length_7435_cov_42.310115:1602-6761   -            299 64151at7898          -            365     4e-15   53.9   8.4   3   6      0.08        17    2.5   0.1   264   284   103   123    82   128 0.70 -
NODE_46031_length_7435_cov_42.310115:1602-6761   -            299 64151at7898          -            365     4e-15   53.9   8.4   4   6   4.4e-06   0.00091   16.6   0.3   248   299   129   177   123   189 0.81 -
NODE_46031_length_7435_cov_42.310115:1602-6761   -            299 64151at7898          -            365     4e-15   53.9   8.4   5   6       1.1   2.4e+02   -1.3   0.0   270   283   234   247   224   257 0.85 -
NODE_46031_length_7435_cov_42.310115:1602-6761   -            299 64151at7898          -            365     4e-15   53.9   8.4   6   6   0.00011     0.023   11.9   0.0   251   284   258   291   249   298 0.90 -
NODE_4430_length_18712_cov_35.507656:4645-7222   -            293 64151at7898          -            365   1.4e-14   52.2   5.2   1   3    0.0038      0.79    6.9   0.0   249   286     3    40     2    47 0.86 -
NODE_4430_length_18712_cov_35.507656:4645-7222   -            293 64151at7898          -            365   1.4e-14   52.2   5.2   2   3   5.9e-10   1.2e-07   29.3   0.5   182   297    25   151    23   162 0.74 -
NODE_4430_length_18712_cov_35.507656:4645-7222   -            293 64151at7898          -            365   1.4e-14   52.2   5.2   3   3   6.2e-11   1.3e-08   32.5   0.5   155   286   100   222    93   264 0.84 -
NODE_25928_length_10129_cov_31.655533:803-8016   -            294 64151at7898          -            365   6.4e-12   43.4   0.5   1   3      0.01       2.1    5.5   0.0   265   293    19    48    11    60 0.84 -
NODE_25928_length_10129_cov_31.655533:803-8016   -            294 64151at7898          -            365   6.4e-12   43.4   0.5   2   3   4.4e-06   0.00093   16.5   0.0    92   147   106   162    93   181 0.86 -
NODE_25928_length_10129_cov_31.655533:803-8016   -            294 64151at7898          -            365   6.4e-12   43.4   0.5   3   3   1.2e-06   0.00025   18.4   0.0   212   289   181   257   175   281 0.81 -
NODE_2512_length_21672_cov_37.948361:4456-5247   -            264 64151at7898          -            365   1.3e-11   42.4  11.4   1   5     3e-06   0.00063   17.1   0.2   252   294    25    67    14    74 0.81 -
NODE_2512_length_21672_cov_37.948361:4456-5247   -            264 64151at7898          -            365   1.3e-11   42.4  11.4   2   5     3e-05    0.0062   13.8   0.3   251   289    66   104    59   108 0.88 -
NODE_2512_length_21672_cov_37.948361:4456-5247   -            264 64151at7898          -            365   1.3e-11   42.4  11.4   3   5   0.00089      0.19    9.0   0.0   250   287   107   144   104   151 0.89 -
NODE_2512_length_21672_cov_37.948361:4456-5247   -            264 64151at7898          -            365   1.3e-11   42.4  11.4   4   5     0.013       2.8    5.1   0.0   248   293   147   192   143   197 0.90 -
NODE_2512_length_21672_cov_37.948361:4456-5247   -            264 64151at7898          -            365   1.3e-11   42.4  11.4   5   5     0.014       2.9    5.0   0.4    82   145   199   264   177   264 0.64 -
NODE_58302_length_6337_cov_40.857326:1398-5896   -            295 64151at7898          -            365   8.2e-10   36.4   4.3   1   3   9.1e-05     0.019   12.2   0.1   253   289    16    53     9    65 0.80 -
NODE_58302_length_6337_cov_40.857326:1398-5896   -            295 64151at7898          -            365   8.2e-10   36.4   4.3   2   3   1.7e-05    0.0036   14.6   0.1   253   286    69   100    61   131 0.85 -
NODE_58302_length_6337_cov_40.857326:1398-5896   -            295 64151at7898          -            365   8.2e-10   36.4   4.3   3   3   0.00088      0.18    9.0   0.0   254   297   150   191   143   203 0.80 -
NODE_64677_length_5873_cov_36.180811:2611-5497   -            211 64151at7898          -            365     2e-09   35.1   0.2   1   1   2.5e-11   5.2e-09   33.8   0.2   245   358    96   205    84   210 0.71 -
NODE_84152_length_4707_cov_28.536241:897-1097    -             67 64151at7898          -            365   5.1e-09   33.8   1.1   1   2   2.3e-05    0.0048   14.2   0.1   271   295     2    26     1    39 0.86 -
NODE_84152_length_4707_cov_28.536241:897-1097    -             67 64151at7898          -            365   5.1e-09   33.8   1.1   2   2   1.5e-07   3.1e-05   21.4   0.2   251   293    24    64    22    66 0.84 -
NODE_21809_length_10951_cov_31.888500:403-8954   -            189 64151at7898          -            365   2.3e-08   31.7   0.5   1   1     2e-10   4.3e-08   30.8   0.5   128   294    27   184    22   187 0.84 -
NODE_288559_length_453_cov_0.864407:57-272       -             72 64151at7898          -            365     2e-07   28.6   0.2   1   2   2.6e-05    0.0053   14.0   0.0   264   285     7    28     1    33 0.81 -
NODE_288559_length_453_cov_0.864407:57-272       -             72 64151at7898          -            365     2e-07   28.6   0.2   2   2   4.1e-05    0.0086   13.3   0.0   250   285    35    71    30    72 0.89 -
NODE_12025_length_13842_cov_41.787455:739-8444   -            354 64151at7898          -            365   7.1e-07   26.8   2.8   1   2   3.9e-07   8.2e-05   20.0   0.2   213   285     5    75     2    83 0.86 -
NODE_12025_length_13842_cov_41.787455:739-8444   -            354 64151at7898          -            365   7.1e-07   26.8   2.8   2   2    0.0033      0.69    7.1   0.2   160   196    84   119    78   124 0.52 -
NODE_75620_length_5172_cov_77.311256:1087-3494   -            222 64151at7898          -            365   1.4e-06   25.8   0.2   1   2   2.1e-05    0.0044   14.3   0.0    83   146    18    81    14    86 0.83 -
NODE_75620_length_5172_cov_77.311256:1087-3494   -            222 64151at7898          -            365   1.4e-06   25.8   0.2   2   2    0.0016      0.32    8.2   0.0   249   297    89   137    82   146 0.83 -
NODE_12925_length_13501_cov_43.049918:2529-11436 -            609 64151at7898          -            365   1.4e-05   22.5   6.6   1   6      0.24        49    1.0   0.1   100   147    98   151    91   174 0.49 -
NODE_12925_length_13501_cov_43.049918:2529-11436 -            609 64151at7898          -            365   1.4e-05   22.5   6.6   2   6   0.00089      0.19    9.0   0.1   248   285   219   257   164   266 0.77 -
NODE_12925_length_13501_cov_43.049918:2529-11436 -            609 64151at7898          -            365   1.4e-05   22.5   6.6   3   6    0.0084       1.7    5.8   0.0   243   292   298   347   283   362 0.82 -
NODE_12925_length_13501_cov_43.049918:2529-11436 -            609 64151at7898          -            365   1.4e-05   22.5   6.6   4   6    0.0027      0.56    7.4   0.0   184   285   328   423   324   440 0.81 -
NODE_12925_length_13501_cov_43.049918:2529-11436 -            609 64151at7898          -            365   1.4e-05   22.5   6.6   5   6       2.2   4.6e+02   -2.2   0.0   251   276   470   495   468   499 0.87 -
NODE_12925_length_13501_cov_43.049918:2529-11436 -            609 64151at7898          -            365   1.4e-05   22.5   6.6   6   6      0.46        95    0.0   0.0   117   147   577   608   572   609 0.79 -
