#                                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3083_length_16451_cov_32.850783:9729-14943 -             90 120216at7898         -            144     2e-32  110.3   4.1   1   1   6.1e-35   2.2e-32  110.2   4.1    14    99     2    90     1    90 0.97 -
NODE_109484_length_3447_cov_32.065412:107-1154  -            125 120216at7898         -            144   4.8e-30  102.6   9.9   1   1   1.5e-32   5.3e-30  102.5   9.9    15   137     1   122     1   125 0.92 -
NODE_111504_length_3388_cov_29.574339:22-2935   -            121 120216at7898         -            144   4.6e-25   86.4  12.4   1   1   1.4e-27   5.1e-25   86.3  12.4    15   137     1   121     1   121 0.93 -
NODE_53715_length_5823_cov_23.924528:287-4839   -            217 120216at7898         -            144     1e-23   82.1  11.9   1   1   3.9e-26   1.4e-23   81.7  11.9    11   132    18   138     9   148 0.94 -
NODE_194699_length_1713_cov_35.463445:568-1618  -            224 120216at7898         -            144   1.7e-12   45.7   0.4   1   1   7.6e-15   2.7e-12   45.0   0.4    74   132     5    63     2    73 0.93 -
NODE_181123_length_1917_cov_11.647415:586-1903  -            117 120216at7898         -            144   4.6e-12   44.3   0.1   1   1   1.7e-14     6e-12   43.9   0.1    87   130     3    46     1    55 0.95 -
NODE_101851_length_3681_cov_35.916248:2492-3647 -            187 120216at7898         -            144   1.3e-11   42.9  12.1   1   2   5.7e-13     2e-10   39.0   4.7    10   130    26   143    17   150 0.81 -
NODE_101851_length_3681_cov_35.916248:2492-3647 -            187 120216at7898         -            144   1.3e-11   42.9  12.1   2   2    0.0015      0.54    8.4   0.7    23    45   165   187   149   187 0.89 -
NODE_88212_length_4146_cov_11.608599:1403-3992  -            124 120216at7898         -            144   2.8e-11   41.8   0.7   1   1   1.1e-13     4e-11   41.3   0.7    75   134     4    63     2    71 0.93 -
NODE_55031_length_5739_cov_32.291844:2299-5458  -            306 120216at7898         -            144   2.1e-05   22.7  12.3   1   2   0.00027     0.096   10.8   2.7    74   120   190   235   185   248 0.78 -
NODE_55031_length_5739_cov_32.291844:2299-5458  -            306 120216at7898         -            144   2.1e-05   22.7  12.3   2   2   6.8e-06    0.0024   16.0   3.1    14    56   251   292   243   302 0.85 -
NODE_5207_length_14393_cov_38.231216:4264-6368  -             91 120216at7898         -            144    0.0028   15.8   0.6   1   1   7.7e-06    0.0028   15.8   0.6    14    45    61    91    58    91 0.92 -
NODE_52567_length_5901_cov_31.473630:688-4696   -            152 120216at7898         -            144     0.013   13.6  11.8   1   2   7.2e-05     0.026   12.7   1.9    76   126     3    52     1    62 0.76 -
NODE_52567_length_5901_cov_31.473630:688-4696   -            152 120216at7898         -            144     0.013   13.6  11.8   2   2    0.0068       2.4    6.3   2.5    87   112   103   130    68   149 0.68 -
NODE_5716_length_14051_cov_36.963303:9276-11655 -            133 120216at7898         -            144     0.036   12.2   8.3   1   2    0.0033       1.2    7.3   0.3    32   109     8    23     3    50 0.61 -
NODE_5716_length_14051_cov_36.963303:9276-11655 -            133 120216at7898         -            144     0.036   12.2   8.3   2   2     0.002      0.72    8.0   2.5    31    56    84   109    80   133 0.72 -
NODE_178554_length_1958_cov_28.344809:167-1422  -            133 120216at7898         -            144     0.037   12.2   6.7   1   2   0.00077      0.27    9.4   4.1    10    66     4    58     1    71 0.69 -
NODE_178554_length_1958_cov_28.344809:167-1422  -            133 120216at7898         -            144     0.037   12.2   6.7   2   2     0.046        16    3.6   0.0    69    91   109   131   103   133 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/120216at7898.hmm
# Target file:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/rerun_results/contigs.modified.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/hmmer_output/rerun_results/120216at7898.out --cpu 1 /home/e1garcia/shotgun_PIRE/abyss/busco_downloads/lineages/actinopterygii_odb10/hmms/120216at7898.hmm /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus/busco_contigs_results-SPAdes_decontam_R1R2_noIsolate/run_actinopterygii_odb10/metaeuk_output/rerun_results/contigs.modified.fasta.modified.fas 
# Current dir:     /home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/plotosus_lineatus
# Date:            Fri Aug 20 14:38:08 2021
# [ok]
